window_id,split,segment,start_row,end_row,bars,start_equity,end_equity,return_pct,max_drawdown_pct,active_rate,avg_turnover_per_bar,mean_gross_exposure,rebalance_count,stop_exits,take_profit_exits,filter_exits
5,selection,2,7865,8877,1013,9791.214178848022,9456.241583068168,-3.4211548196289687,-5.230335977585632,1.0,0.0259953937608186,0.5,40,0,0,0
5,selection,3,8878,9890,1013,9456.241583068168,9197.320859190728,-2.7380933704258315,-5.781306855539247,1.0,0.025008227017883723,0.5,41,0,0,0
5,selection,4,9891,10903,1013,9197.320859190728,9567.431705360357,4.024115846733611,-1.5401891462687112,1.0,0.021717670786416073,0.5,39,0,0,0
5,selection,5,10904,11915,1012,9567.431705360357,9534.559905305628,-0.343580190243864,-2.3097677704014496,1.0,0.024044796323823364,0.5,41,0,0,0
6,selection,1,8512,9557,1046,10000.0,8885.781301525258,-11.142186984747426,-11.739098296573069,1.0,0.03202676864244742,0.5,34,0,0,0
6,selection,2,9558,10603,1046,8885.781301525258,9631.945120971728,8.397278687450815,-2.62814273790819,1.0,0.030592734225621414,0.5,32,0,0,0
6,selection,3,10604,11649,1046,9631.945120971728,9694.896988128288,0.6535737731675262,-7.888112962825023,1.0,0.03154875717017208,0.5,33,0,0,0
6,selection,4,11650,12695,1046,9694.896988128288,9967.169608891329,2.808411694280477,-7.7133498759053065,1.0,0.028680688336520075,0.5,30,0,0,0
6,selection,5,12696,13741,1046,9967.169608891329,11023.789251367065,10.60099992211596,-3.418388351908652,1.0,0.02581261950286807,0.5,27,0,0,0
7,selection,1,10172,11184,1013,10000.0,9600.689534462195,-3.9931046553780436,-9.259982645235665,1.0,0.03504442250740375,0.5,36,0,0,0
7,selection,2,11185,12197,1013,9600.689534462195,10786.584775032974,12.352188208085924,-5.0125824296409665,1.0,0.027640671273445213,0.5,28,0,0,0
7,selection,3,12198,13210,1013,10786.584775032974,11431.129870772222,5.975432532001568,-4.562497319394431,1.0,0.02665350444225074,0.5,27,0,0,0
7,selection,4,13211,14223,1013,11431.129870772222,10893.168819096765,-4.706105675965999,-8.822603980625365,1.0,0.0315893385982231,0.5,32,0,0,0
7,selection,5,14224,15235,1012,10893.168819096765,10435.695708384943,-4.199632983836887,-6.686888473500218,1.0,0.030632411067193676,0.5,31,0,0,0
8,selection,1,11916,12928,1013,10000.0,10565.986475291971,5.659864752919708,-8.050185473876304,1.0,0.02912142152023692,0.5,30,0,0,0
8,selection,2,12929,13941,1013,10565.986475291971,11101.441284110875,5.0677218835272875,-5.5496127105515995,1.0,0.028627838104639685,0.5,29,0,0,0
8,selection,3,13942,14954,1013,11101.441284110875,11088.95492490679,-0.11247511818088807,-3.859191500035497,1.0,0.03060217176702863,0.5,31,0,0,0
8,selection,4,14955,15966,1012,11088.95492490679,11542.43094050009,4.089438713243854,-4.537545829488277,1.0,0.0266798418972332,0.5,27,0,0,0
8,selection,5,15967,16978,1012,11542.43094050009,10447.59745077132,-9.485293829112006,-10.262441329392203,1.0,0.030632411067193676,0.5,31,0,0,0
9,selection,1,13742,14754,1013,10000.0,9747.26092547237,-2.5273907452763034,-4.3228931996779245,1.0,0.02188219858180853,0.5,40,0,0,0
9,selection,2,14755,15767,1013,9747.26092547237,10103.198566969731,3.651668342715597,-2.341232302582974,1.0,0.015794669740409512,0.5,37,0,0,0
9,selection,3,15768,16780,1013,10103.198566969731,9838.834946206547,-2.616632930757845,-3.7706869631413675,1.0,0.022046726436040713,0.5,42,0,0,0
9,selection,4,16781,17792,1012,9838.834946206547,9686.463435706337,-1.5486743230605615,-3.606317763650313,1.0,0.01910408474357703,0.5,35,0,0,0
9,selection,5,17793,18804,1012,9686.463435706337,10090.402562035062,4.1701404130605635,-1.7880148977498678,1.0,0.020092227183311825,0.5,40,0,0,0
10,selection,1,15236,16298,1063,10000.0,11189.523972464704,11.895239724647034,-3.3729393948302766,1.0,0.032455315145813735,0.5,35,0,0,0
10,selection,2,16299,17361,1063,11189.523972464704,10400.91134131338,-7.047776412043527,-8.276202857736692,1.0,0.030103480714957668,0.5,32,0,0,0
10,selection,3,17362,18423,1062,10400.91134131338,10347.206229898607,-0.5163500548403976,-2.219121192135931,1.0,0.031073446327683617,0.5,33,0,0,0
10,selection,4,18424,19485,1062,10347.206229898607,10509.157201478956,1.5651661712548615,-4.047067927515402,1.0,0.02919020715630885,0.5,31,0,0,0
10,selection,5,19486,20547,1062,10509.157201478956,10518.735605178676,0.09114340489997375,-5.656955161061794,1.0,0.032015065913371,0.5,34,0,0,0
