ticker,prediction_count,first_decision_date,last_decision_date,mean_p_high,max_p_high,latest_risk_class,latest_p_low,latest_p_medium,latest_p_high,latest_feature_coverage
VTBR,46,2022-09-30,2026-06-19,0.13423135835624594,0.4708614554709956,medium,0.1637493967919308,0.7150390744599994,0.1212115287480697,1.0
PIKK,46,2022-09-30,2026-06-19,0.3244856817450444,0.8025494691139561,medium,0.1584994519783427,0.7203600350885332,0.121140512933124,1.0
RTKM,46,2022-09-30,2026-06-19,0.2660147989778488,0.644524032078716,medium,0.1457259414120117,0.733426761131527,0.1208472974564611,1.0
GMKN,46,2022-09-30,2026-06-19,0.16949606764112826,0.4387365668459599,medium,0.2173198244545716,0.6620692209962488,0.1206109545491796,1.0
PHOR,46,2022-09-30,2026-06-19,0.11134736135636683,0.1757930602833895,medium,0.2226407779476518,0.6569182696339522,0.120440952418396,1.0
ROSN,46,2022-09-30,2026-06-19,0.1086334632576017,0.1457864356348893,medium,0.1338122910770212,0.7457854848540619,0.1204022240689167,1.0
FLOT,46,2022-09-30,2026-06-19,0.26410929500518326,0.6025444297369118,medium,0.1263323141321419,0.7536407901289269,0.120026895738931,1.0
NVTK,46,2022-09-30,2026-06-19,0.13181791128604958,0.4142627982646467,medium,0.1235675739591078,0.7565647824489781,0.1198676435919141,1.0
TATN,46,2022-09-30,2026-06-19,0.13385477182482394,0.5463231016651828,medium,0.1225180367191174,0.757677821485088,0.1198041417957945,1.0
SNGS,46,2022-09-30,2026-06-19,0.17892456405633933,0.4482492223699237,medium,0.2451931154635264,0.6352674723080575,0.119539412228416,1.0
PLZL,46,2022-09-30,2026-06-19,0.21036970913052183,0.6038203781053725,medium,0.3039916945732757,0.5799839208886238,0.1160243845381005,1.0
SVCB,29,2024-02-29,2026-06-19,0.1739177016111338,0.5381606845563452,medium,0.3048104112569014,0.579224407900691,0.1159651808424076,1.0
AFKS,46,2022-09-30,2026-06-19,0.24314521653891338,0.602042042101094,medium,0.3286418458298355,0.5572246852810738,0.1141334688890907,1.0
HEAD,20,2024-11-29,2026-06-19,0.2081038564208521,0.6127783851303883,medium,0.3428564610142798,0.5441973074254655,0.1129462315602546,1.0
SIBN,46,2022-09-30,2026-06-19,0.1557209036847046,0.5155636993466749,medium,0.3555814873539394,0.5325913552239759,0.1118271574220846,1.0
AFLT,46,2022-09-30,2026-06-19,0.16601414504487663,0.5153395959690712,medium,0.3564667316038033,0.5317858740940157,0.1117473943021809,1.0
GAZP,46,2022-09-30,2026-06-19,0.11327628022067618,0.3097739414974053,low,0.4843433761322707,0.4177127978925488,0.0979438259751804,1.0
T,44,2022-09-30,2026-06-19,0.28382399288629273,0.8475069633545763,low,0.4992464776148919,0.4046813296107392,0.0960721927743688,1.0
CNRU,14,2025-05-31,2026-06-19,0.24624976662830833,0.8127550465467746,low,0.5247007720693088,0.3825380563873781,0.0927611715433131,1.0
DOMRF,7,2025-12-30,2026-06-19,0.09759186853475955,0.1178327042970055,low,0.614773997384362,0.3052877322541726,0.0799382703614653,1.0
YDEX,22,2024-09-30,2026-06-19,0.09745933735997533,0.1212619927006938,low,0.654285892193745,0.2719299237864201,0.0737841840198349,1.0
MOEX,46,2022-09-30,2026-06-19,0.1130012627855568,0.2844617318059159,low,0.6768580220183256,0.2530182282496956,0.0701237497319787,1.0
X5,17,2025-02-28,2026-06-19,0.09950763405394801,0.2776780780807342,low,0.7650521487360307,0.1801777745316961,0.0547700767322731,1.0
MTSS,46,2022-09-30,2026-06-19,0.13088865148069173,0.5301245903143792,low,0.8107442455806705,0.1431585342802948,0.0460972201390345,1.0
SBER,46,2022-09-30,2026-06-19,0.0725468894252648,0.1316775007953741,low,0.8689438775977991,0.0968611529763311,0.0341949694258697,1.0
