period,variant,return_pct,final_equity,max_drawdown_pct,stress_return_pct,windows,trade_windows,cash_only_rate,trade_window_win_rate,worst_trade_window_test_return_pct,gate_veto_window_count,avoided_loss_pct,missed_profit_pct,diplom_changed_rebalance_decisions,diplom_available_rebalance_decisions,diplom_missing_rebalance_decisions,diplom_stale_rebalance_decisions,diplom_risk_weight_pct,diplom_candidate_score_penalty_pct,diplom_gate_penalty_pct,output_dir,return_pct_baseline,final_equity_baseline,max_drawdown_pct_baseline,stress_return_pct_baseline,trade_windows_baseline,cash_only_rate_baseline,return_pct_delta_vs_baseline,final_equity_delta_vs_baseline,max_drawdown_pct_delta_vs_baseline,stress_return_pct_delta_vs_baseline,trade_windows_delta_vs_baseline,cash_only_rate_delta_vs_baseline
broad_2022_2026_monthly,fresh_gate_only,-0.4954212646312794,9950.457873536872,-0.4954212646312794,-5.402610720425615,42,1,0.9761904761904762,0.0,-0.4954212646312794,41,322.5487915082208,62.0929028364084,0,5536,61,23,0.0,0.0,4.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\broad_2022_2026_monthly\fresh_gate_only,-0.4954212646312794,9950.457873536872,-0.4954212646312794,-5.402610720425615,1,0.9761904761904762,0.0,0.0,0.0,0.0,0,0.0
broad_2022_2026_monthly,fresh_combined,0.0,10000.0,0.0,0.0,42,0,1.0,0.0,0.0,42,307.0847784210567,48.76915355524915,2691,6267,87,47,25.0,6.0,4.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\broad_2022_2026_monthly\fresh_combined,-0.4954212646312794,9950.457873536872,-0.4954212646312794,-5.402610720425615,1,0.9761904761904762,0.4954212646312794,49.54212646312772,0.4954212646312794,5.402610720425615,-1,0.0238095238095238
may_2026,baseline,0.0,10000.0,0.0,0.0,1,0,1.0,0.0,0.0,1,24.274329951605576,0.0,0,0,0,0,0.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\may_2026\baseline,0.0,10000.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
may_2026,old_artifact_target_only,0.0,10000.0,0.0,0.0,1,0,1.0,0.0,0.0,1,24.274329951605576,0.0,0,0,89,17,25.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\may_2026\old_artifact_target_only,0.0,10000.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
may_2026,fresh_target_only,0.0,10000.0,0.0,0.0,1,0,1.0,0.0,0.0,1,24.274329951605576,0.0,0,106,0,0,25.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\may_2026\fresh_target_only,0.0,10000.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
may_2026,fresh_candidate_only,0.0,10000.0,0.0,0.0,1,0,1.0,0.0,0.0,1,24.274329951605576,0.0,0,106,0,0,0.0,6.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\may_2026\fresh_candidate_only,0.0,10000.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
may_2026,fresh_gate_only,0.0,10000.0,0.0,0.0,1,0,1.0,0.0,0.0,1,24.274329951605576,0.0,0,106,0,0,0.0,0.0,4.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\may_2026\fresh_gate_only,0.0,10000.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
may_2026,fresh_combined,0.0,10000.0,0.0,0.0,1,0,1.0,0.0,0.0,1,24.274329951605576,0.0,0,106,0,0,25.0,6.0,4.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\may_2026\fresh_combined,0.0,10000.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
y2025_full_year,baseline,-0.6190142867889881,9938.0985713211,-0.6190142867889881,-6.179311180576718,12,1,0.9166666666666666,0.0,-0.6190142867889881,11,91.39364085002782,52.52445996766248,0,0,0,0,0.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\y2025_full_year\baseline,-0.6190142867889881,9938.0985713211,-0.6190142867889881,-6.179311180576718,1,0.9166666666666666,0.0,0.0,0.0,0.0,0,0.0
y2025_full_year,old_artifact_target_only,-0.6190142867889881,9938.0985713211,-0.6190142867889881,-6.179311180576718,12,1,0.9166666666666666,0.0,-0.6190142867889881,11,90.94876316655002,52.73772725055359,54,161,1222,109,25.0,0.0,0.0,outputs\fresh_diplom_risk_backtest_matrix_20260623\y2025_full_year\old_artifact_target_only,-0.6190142867889881,9938.0985713211,-0.6190142867889881,-6.179311180576718,1,0.9166666666666666,0.0,0.0,0.0,0.0,0,0.0
