window_id,selected,gate_pass,gate_reject_reasons,alpha_name,mode,k,gross,rebalance_every,expected_return_pct,calibrated_expected_return_pct,uncertainty_pct,neural_uncertainty_pct,uses_neural_feature,neural_feature_bonus_pct,regime_risk,stress_edge_pct,decision_score,trade_probability,decision_mode,calibration_count,calibration_bias_pct,calibration_win_rate,calibration_mean_raw_test_return_pct,selection_period_count,selection_period_win_rate,selection_worst_period_return_pct,gate_period_count,gate_period_win_rate,gate_worst_period_return_pct,selection_stress_return_pct,gate_stress_return_pct,diplom_risk_available,diplom_risk_class,diplom_p_high,diplom_risk_penalty_pct,diplom_risk_reason,diplom_risk_active_count,diplom_risk_available_count,diplom_risk_missing_count,diplom_risk_stale_count,diplom_risk_changed_count,soft_risk_flags
24,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_12,short_only,1,0.5,24,-15.480934672058899,-13.298076847611261,14.621522644885085,2.5807524369455463,False,0.0,1.0,-19.91560977332104,-19.91560977332104,0.20390327496124183,balanced,23,4.365715648895274,0.30434782608695654,-3.895707030892941,4,0.5,-6.638550674750022,2,0.5,-10.541478677028593,-12.196562075628659,-15.480934672058899,False,,,0.0,diplom_risk_missing,73,0,73,0,0,"gate_stress,stress_edge,may_like_regime"
25,cash_gate_veto,False,catastrophic_regime_risk,mom_96,short_only,1,1.5,24,18.360783357046184,20.759990410007816,54.32640667820628,2.576292315104904,False,0.0,1.0,0.24574807263561738,0.24574807263561738,0.5011308849075959,balanced,24,4.798414105923263,0.2916666666666667,-3.763821573542897,4,0.5,-21.497370784861115,2,0.5,-10.140127268550836,40.86964365946262,18.360783357046184,False,,,0.0,diplom_risk_missing,77,0,77,0,0,may_like_regime
26,cash_gate_veto,False,decision_score,mom_96,short_only,1,1.5,24,-39.06845257355604,-37.760006866943456,40.365465126791214,1.8579744945534251,False,0.0,0.024883959123004826,-51.92524560000489,-51.92524560000489,0.2164665057661704,balanced,25,2.6168914132251655,0.28,-4.868423504780501,4,0.75,-9.818769714041231,2,0.0,-17.39249177265605,38.71543377655997,-39.06845257355604,False,,,0.0,diplom_risk_missing,66,0,66,0,0,"gate_stress,gate_month_win_rate,stress_edge"
27,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_96,short_only,3,1.5,24,-8.414995381984113,-6.333045005876276,23.545317073211493,2.2471479577138838,False,0.0,0.9908151674980744,-16.06012873274741,-16.06012873274741,0.33579401642709444,balanced,26,4.163900752215674,0.3076923076923077,-4.536150229465007,4,0.5,-10.696459518298774,2,0.5,-4.621994622926051,-10.225125424920423,-8.414995381984113,False,,,0.0,diplom_risk_missing,243,0,243,0,0,"gate_stress,stress_edge,may_like_regime"
28,cash_gate_veto,False,decision_score,mom_96,short_only,3,0.5,24,-10.88060109293718,-9.04993368214814,9.462654610618264,2.088768796829304,False,0.0,0.8024642944171781,-13.5655592374903,-13.5655592374903,0.19254006478413593,balanced,27,3.6613348215780785,0.2962962962962963,-5.028158545299025,4,0.5,-4.570892807148064,2,0.0,-4.355725548250389,-6.652908442313987,-10.88060109293718,False,,,0.0,diplom_risk_missing,303,0,303,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
29,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_96,long_only,1,1.5,24,-38.52070574241914,-36.553117683313104,35.72715036868313,2.7613602497040457,False,0.0,1.0,-50.5576203123522,-50.5576203123522,0.19543032711035058,balanced,28,3.935176118212073,0.32142857142857145,-4.832571096024319,4,0.75,-9.606158181765812,2,0.0,-23.435013806617498,6.527918435154945,-38.52070574241914,True,high,0.8319263787542861,100.0,"diplom_risk_missing,diplom_long_veto,diplom_long_risk_penalty",107,23,84,0,23,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
30,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_48,short_only,1,1.0,24,-28.694099969935404,-26.754172808596124,29.87859778445655,2.44593382376479,False,0.0,1.0,-38.71168203315592,-38.71168203315592,0.2149009794025186,balanced,29,3.8798543226785625,0.3103448275862069,-5.913856978736544,4,0.25,-10.80947648602858,2,0.0,-8.960292249013701,-27.794707317699086,-28.694099969935404,True,high,0.8764209338909403,0.0,"ok,diplom_risk_missing",96,29,67,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
31,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",neural_ensemble,short_only,3,0.5,24,-10.253763404514139,-8.038901906479328,6.89943264832664,2.3776360667578067,True,0.0,1.0,-11.953703333393651,-11.953703333393651,0.15026000774250595,balanced,30,4.429722996069623,0.3,-5.994001260962827,4,0.25,-2.376150644438313,2,0.5,-1.720921477862869,-27.302291238401168,-10.253763404514139,True,high,0.8764209338909403,0.0,diplom_risk_missing,303,44,259,0,0,"gate_stress,stress_edge,may_like_regime"
32,cash_gate_veto,False,decision_score,voladj_rev_96,short_only,1,0.5,24,-14.548079297708405,-12.368110877077811,9.58017517062396,2.627286471526582,False,0.0,0.8305747312711246,-16.967034283702883,-16.967034283702883,0.14541095603067705,balanced,31,4.35993684126119,0.2903225806451613,-6.058304807625509,4,0.75,-0.07576169214659201,2,0.0,-7.497954187565192,-14.183559977923855,-14.548079297708405,True,high,0.7606170383795451,0.0,"diplom_risk_missing,ok",107,29,78,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
33,cash_gate_veto,False,decision_score,mom_96,short_only,1,0.5,24,-16.602515241634595,-14.398400169076819,12.013963192591676,2.2169656383039635,False,0.0,0.8403828836894852,-19.863861612018134,-19.863861612018134,0.160650241230421,balanced,32,4.408230145115552,0.28125,-6.139068930296826,4,0.25,-4.953847690276469,2,0.0,-8.066821543824975,-16.624805170566137,-16.602515241634595,True,high,0.625496897167102,0.0,"diplom_risk_missing,ok",101,25,76,0,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
34,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",neural_ensemble,short_only,1,0.5,24,-11.511508358250888,-9.127796013604813,10.831302286627961,2.8452980435556836,True,0.0,1.0,-14.4187518139246,-14.4187518139246,0.20895907538120947,balanced,33,4.76742468929215,0.2727272727272727,-5.963365785096659,4,0.5,-4.805518610313275,2,0.5,-3.665652633446226,-22.93406182664861,-11.511508358250888,True,high,0.7068409354380174,0.0,"diplom_risk_missing,ok",108,13,95,0,0,"gate_stress,stress_edge,may_like_regime"
35,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",mom_96,long_only,1,0.5,24,-23.903185978109796,-21.27965391364946,13.89644359865032,2.8060971042271876,False,0.0,1.0,-27.643409173177073,-27.643409173177073,0.12033692656621524,balanced,34,5.247064128920666,0.29411764705882354,-5.506688636169969,4,0.5,-7.745278926142751,2,0.0,-12.74561074217171,-19.330394551143893,-23.903185978109796,True,high,0.5980184556611332,14.95046139152833,"diplom_risk_missing,diplom_long_risk_penalty,diplom_risk_stale",107,25,81,1,25,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
36,cash_gate_veto,False,decision_score,mom_96,short_only,3,1.5,24,-26.9647713997456,-24.214695465096767,26.05401770134618,2.1067367190969923,False,0.0,0.7130378245468557,-34.40315839738821,-34.40315839738821,0.21074260039968087,balanced,35,5.500151869297668,0.2857142857142857,-5.629298987593514,4,0.5,-14.84677160487189,2,0.0,-7.814622770467283,-28.62493576542612,-26.9647713997456,False,,,0.0,"diplom_risk_missing,diplom_risk_stale",306,0,221,85,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
37,cash_gate_veto,False,decision_score,mom_96,short_only,3,1.5,24,-32.188778814316755,-29.41749573675756,24.34955334010556,2.239411450456828,False,0.0,0.8727434509967101,-39.248954582289564,-39.248954582289564,0.16632550570306504,balanced,36,5.542566155118394,0.2777777777777778,-6.026754716852078,4,0.5,-4.976943278482294,2,0.0,-12.474394855674142,-20.64316792257066,-32.188778814316755,False,,,0.0,"diplom_risk_missing,diplom_risk_stale",300,0,232,68,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
38,cash_gate_veto,False,decision_score,mom_96,short_only,1,0.5,24,1.6905843140852639,4.876285016012739,11.502012261799782,2.67760963650376,False,0.0,0.8996477887967922,-0.49889095881237333,-0.49889095881237333,0.489158141472564,balanced,37,6.371401403854951,0.2972972972972973,-5.75520211520596,4,0.5,-9.11332272026506,2,1.0,2.5340532784033476,-15.113214480952397,1.6905843140852639,False,,,0.0,"diplom_risk_stale,diplom_risk_missing",84,0,69,15,0,"stress_edge,may_like_regime"
39,cash_gate_veto,False,decision_score,voladj_mom_96,short_only,3,0.5,24,-14.381252149950596,-11.442082052163121,8.499175126314682,1.8725348783338123,False,0.0,0.846605389374638,-15.686701430435216,-15.686701430435216,0.13638169048347007,balanced,38,5.878340195574949,0.2894736842105263,-5.884653117350536,4,0.5,-6.614076977634554,2,0.0,-5.26306910714035,-23.670479508184616,-14.381252149950596,False,,,0.0,"diplom_risk_stale,diplom_risk_missing",333,0,220,113,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
40,cash_gate_veto,False,decision_score,mom_96,long_only,1,0.5,24,0.6155163631617722,3.5759492001619653,8.959815624206858,2.75819560745731,False,0.0,0.8191625056507471,-0.7887300267865553,-0.7887300267865553,0.47800677166136524,balanced,39,5.920865674000386,0.28205128205128205,-5.909262480900101,4,0.25,-4.613959311668802,2,1.0,1.8775376207792904,-15.926677518726828,0.6155163631617722,False,,,0.0,"diplom_risk_missing,diplom_risk_stale",100,0,68,32,0,"stress_edge,may_like_regime"
41,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",voladj_mom_96,long_only,3,0.5,24,-16.35115444032994,-13.691761921897703,9.11238581812896,2.445747958084282,False,0.0,1.0,-18.38109695824284,-18.38109695824284,0.11741346389444322,balanced,40,5.318785036864472,0.275,-6.200202005084461,4,0.5,-5.35159984184006,2,0.0,-6.59496924291656,-20.496452144889254,-16.35115444032994,False,,,0.0,"diplom_risk_missing,diplom_risk_stale",312,0,185,127,0,"gate_stress,gate_month_win_rate,stress_edge,may_like_regime"
42,cash_gate_veto,False,"decision_score,catastrophic_regime_risk",neural_ensemble,short_only,1,0.5,24,-13.783996582724034,-11.13455774474141,11.17960052922115,2.829400664151488,True,0.0,1.0,-16.547417929968812,-16.547417929968812,0.18540567959852336,balanced,41,5.2988776759652465,0.2682926829268293,-6.337967107407613,4,0.75,-6.566441224433528,2,0.5,-5.070813252672968,-27.109533896339,-13.783996582724034,False,,,0.0,"diplom_risk_missing,diplom_risk_stale",106,0,92,14,0,"gate_stress,stress_edge,may_like_regime"
